| Para No | Particulars                                                                                                                                               |          |
|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------|----------|
| A       | Purpose                                                                                                                                                   | No.<br>1 |
| B       | Classification                                                                                                                                            | 1        |
| C       | Previous instructions                                                                                                                                     | 1        |
| D       | Application                                                                                                                                               | 1        |
| 1       | Introduction                                                                                                                                              | 2        |
| 2       | Guidelines                                                                                                                                                | 2        |
| 2.1     | General Guidelines                                                                                                                                        | 2        |
| 2.2     | Guidelines relating to conduct of guarantee business                                                                                                      | 3        |
| 2.2.1   | Norms for unsecured advances & guarantees                                                                                                                 | 3        |
| 2.2.2   | Precautions for issuing guarantees                                                                                                                        | 4        |
| 2.2.3   | Precautions for averting frauds                                                                                                                           | 4        |
| 2.2.4   | Ghosh Committee Recommendations                                                                                                                           | 4        |
| 2.2.5   | Internal Control Systems                                                                                                                                  | 5        |
| 2.2.6   | Guarantees on behalf of Banks' Directors                                                                                                                  | 5        |
| 2.2.7   | Bank Guarantee Scheme of Government of India                                                                                                              | 6        |
| 2.2.8   | Guarantees on Behalf of Share and Stock Brokers/ Commodity<br>Brokers                                                                                     | 6        |
| 2.2.9   | Guidelines relating to obtaining of personal guarantees of<br>promoters, directors, other managerial personnel, and shareholders<br>of borrowing concerns | 7        |
| 2.2.10  | Guarantees of State Government                                                                                                                            | 9        |
| 2.3     | Other Stipulations – Issuing Bid Bonds and Performance                                                                                                    | 9        |
|         | Guarantees for export                                                                                                                                     |          |
| 2.3.1   | Unconditional Guarantees in favour of Overseas Employers/                                                                                                 | 10       |
|         | Importers on behalf of Indian Exporters                                                                                                                   |          |
| 2.3.2   | Certain Precautions in case of Project Exports                                                                                                            | 10       |
| 2.3.3   | Guarantees for Export Advance                                                                                                                             | 10       |
| 2.3.4   | Review of Banks' Procedures                                                                                                                               | 11       |
| 2.3.5   | Overseas Investments – Guarantee on behalf of a Foreign Entity or<br>any of its Step Down Subsidiary                                                      | 11       |
| 2.4     | Restrictions on guarantees for placement of funds with NBFCs or<br>other non-bank entities                                                                | 12       |
| 2.5     | Payment of invoked guarantees                                                                                                                             | 15       |
| 2.6     | Co-acceptance of bills                                                                                                                                    | 17       |
| 2.6.1   | General                                                                                                                                                   | 17       |
| 2.6.2   | Safeguards                                                                                                                                                | 17       |
| 2.7     | Precautions to be taken in the case of Letters of Credit                                                                                                  | 19       |
| 2.8     | Compliance to the regulations of Foreign Exchange Management<br>Act, 2000                                                                                 | 20       |
| 2.9     | Compliance to the Prudential Norms                                                                                                                        | 20       |
| Annex 1 | Model Form of Bank Guarantee Bond                                                                                                                         | 21       |
| Annex 2 | List of circulars consolidated                                                                                                                            | 23       |

| Sl.<br>No. | Circular No.                            | Date       | Subject                                                                                                                                                                                         |
|------------|-----------------------------------------|------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1.         | DBR.Dir.BC.No.70/13.03.00/2015-16       | 07.01.2016 | Non-Fund<br>Based<br>Facility<br>to<br>Non<br>constituent Borrowers<br>of Bank                                                                                                                  |
| 2.         | DBR.BP.BC.No.40/21.04.142/2015-16       | 24.09.2015 | Partial<br>Credit<br>Enhancement<br>to<br>Corporate Bonds                                                                                                                                       |
| 3.         | DBR.No.BP.BC.85/21.04.048/2014-15       | 06.04.2015 | Prudential Norms on<br>Income<br>Recognition,<br>Asset<br>Classification<br>and<br>Provisioning<br>pertaing<br>to Advance<br>Refinancing<br>of<br>Exposures<br>to<br>Borrowers                  |
| 4.         | DBOD.No.BP.BC.107/21.04.048/2013-<br>14 | 22.04.2014 | Fund<br>/<br>Non-Fund<br>based Credit Facilities<br>to<br>Overseas<br>Joint<br>Ventures<br>/<br>Wholly<br>Owned Subsidiaries /<br>Wholly owned Step<br>down Subsidiaries of<br>Indian Companies |
| 5.         | DBOD.BP.BC.No.98/21.04.132/2013-<br>14  | 26.02.2014 | Framework<br>for<br>Revitalising<br>Distressed Assets in<br>the<br>Economy<br>-<br>Refinancing of Project<br>Loans, Sale of NPA<br>and Other Regulatory<br>Measures                             |
| 6.         | Mail-Box Clarification                  | 19.05.2011 | Issue<br>of<br>Bank<br>Guarantee<br>(BG)<br>/<br>Letter of Credit (LC) by<br>Commercial Banks to<br>constituents<br>of<br>Co<br>operative Banks                                                 |
| 7.         | DBOD.BP.BC.96/08.12.014/2009-10         | 23.04.2010 | Prudential Norms on<br>Advances<br>to<br>Infrastructure Sector                                                                                                                                  |

| 8.  | DBOD.No.Dir.BC.136/13.03.00/2008-<br>09 | 29.05.2009 | Issue of Guarantees<br>by Banks                                                                                                                                                   |
|-----|-----------------------------------------|------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 9.  | DBOD.No.BP.BC.127/21.04.009/2008-<br>09 | 22.04.2009 | Extension<br>of<br>Guarantee -<br>Maturity<br>Beyond Ten Years                                                                                                                    |
| 10. | Mail-Box Clarification                  | 15.04.2009 | Bank Guarantee with<br>Auto Renewal Clause                                                                                                                                        |
| 11. | Mail-Box Clarification                  | 27.05.2008 | Signing<br>of<br>Bank<br>Guarantee                                                                                                                                                |
| 12. | DBOD.No.Dir.BC.72/13.03.00/2006-07      | 03.04.2007 | Guarantees for Export<br>Advance                                                                                                                                                  |
| 13. | DBOD.No.Dir.BC.51/13.03.00/2006-07      | 09.01.2007 | Banks'<br>Exposure<br>to<br>Commodity Markets –<br>Margin Requirements                                                                                                            |
| 14. | DBOD.No.Dir.BC.35/13.07.10/2006-07      | 11.10.2006 | Guarantees and Co<br>acceptances                                                                                                                                                  |
| 15. | DBOD.BP.BC.No.97/21.04.141/2003-<br>04  | 17.06.2004 | Annual<br>Policy<br>Statement for the year<br>2004-05 -<br>Prudential<br>Guidelines<br>on<br>Unsecured Exposures                                                                  |
| 16. | IECD.No.17/08.12.01/2002-03             | 05.04.2003 | Guarantees and Co<br>acceptances                                                                                                                                                  |
| 17. | DBOD.No.BP.BC.47/21.04.141/2002         | 13.12.2002 | Limit<br>of<br>Unsecured<br>Guarantees<br>and<br>Advances                                                                                                                         |
| 18. | DBOD.No.BP.BC.39/21.04.141/2002-<br>03  | 06.11.02   | Exemption<br>of<br>Advances granted to<br>Self<br>Help<br>Groups<br>(SHGs) against Group<br>Guarantee<br>from<br>the<br>Limit<br>of<br>Unsecured<br>Guarantees<br>and<br>Advances |
| 19. | DBOD.No.BP.BC.90/21.04.141/2001-<br>02  | 18.04.02   | Exclusion<br>of<br>Credit<br>Card<br>Outstanding<br>from<br>the<br>Norms<br>relating to Unsecured<br>Advances<br>and<br>Guarantees                                                |
| 20. | IECD No 16/08.12.01/2001-02             | 20.02.02   | Financing<br>of<br>Infrastructure Projects                                                                                                                                        |
| 21. | DBOD.BP.BC.119/21.04137/2000-01         | 11.05.01   | Bank<br>Financing<br>of<br>Equities<br>and<br>Investment in Shares<br>– Revised Guidelines                                                                                        |

