| Sr.<br>No. | Nature of Irregularity                                                         | Penalty                                                                                                                                                                                         |
|------------|--------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| i.         | Shortages<br>in<br>soiled<br>note<br>remittances and currency chest            | For notes in denomination up to ₹ 50                                                                                                                                                            |
|            | balances                                                                       | ₹ 50/-<br>per piece in addition to the loss                                                                                                                                                     |
|            |                                                                                | For notes in denomination of ₹ 100 &<br>above                                                                                                                                                   |
|            |                                                                                | Equal to the value of the denomination per<br>piece in addition to the loss.                                                                                                                    |
|            |                                                                                | In<br>case<br>of<br>shortage<br>in<br>soiled<br>note<br>remittances/chest balances, the amount of<br>shortage/loss<br>thereof<br>will<br>be<br>recovered<br>immediately.                        |
|            |                                                                                | Penalty<br>will<br>be<br>levied<br>immediately<br>on<br>detection<br>of<br>shortage<br>in<br>soiled<br>note<br>remittances/chest balances,<br>irrespective of<br>the number of pieces detected. |
| ii.        | Counterfeit<br>notes<br>detected<br>in<br>soiled<br>note<br>remittances<br>and | Penalty on account of detection of counterfeit<br>notes by RBI from soiled note remittance of                                                                                                   |
|            | currency chest balances.                                                       | banks and in currency chest balances shall                                                                                                                                                      |
|            |                                                                                | be levied in terms of the instructions issued                                                                                                                                                   |
|            |                                                                                | by DCM (FNVD) No.G-1/16.01.05/2021-22<br>dated April 01, 2021.                                                                                                                                  |

| iii.                                                                                                                                                                                                                                                                                                                  | Mutilated notes detected in soiled<br>note remittances and currency<br>chest balances                                                                                                                                                                  | ₹<br>50/-<br>per<br>piece<br>irrespective<br>of<br>the<br>denomination                                                                                                                                                        |
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                        | In case of mutilated notes detected in soiled<br>note<br>remittances<br>and<br>currency<br>chest<br>balances, the amount of loss thereof will be<br>recovered immediately.                                                    |
|                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                        | Penalty<br>will<br>be<br>levied<br>immediately<br>on<br>detection of mutilated notes in soiled note<br>remittances<br>/<br>currency<br>chest<br>balances,<br>irrespective<br>of<br>the<br>number<br>of<br>pieces<br>detected. |
| iv.                                                                                                                                                                                                                                                                                                                   | Non-compliance with operational<br>guidelines<br>by<br>currency<br>chests<br>detected by RBI officials                                                                                                                                                 | Penalty of ₹ 5000 for each irregularity.<br>Penalty will be enhanced to ₹ 10,000 in case<br>of repetition.                                                                                                                    |
|                                                                                                                                                                                                                                                                                                                       | a) Non-functioning of CCTV<br>b) Branch cash/documents kept in<br>strong room                                                                                                                                                                          | Penalty will be levied immediately.                                                                                                                                                                                           |
|                                                                                                                                                                                                                                                                                                                       | c)<br>Non-utilization of NSMs for<br>sorting of notes (NSMs not used<br>for sorting of high denomination<br>notes received over the counter or<br>not used<br>for sorting notes remitted<br>to chest/RBI)                                              |                                                                                                                                                                                                                               |
| v.<br>Violation of any term of agreement<br>with<br>RBI<br>(for<br>opening<br>and<br>maintaining currency chests) or<br>deficiency in service in providing<br>exchange facilities, as detected by<br>RBI officials e.g.<br>a) Non-issue of coins over the<br>counter to any member of public<br>despite having stock. | ₹ 10,000 for any violation of agreement or<br>deficiency of service.<br>₹ 5 lakh in case there are more than 5<br>instances<br>of<br>violation<br>of<br>agreement/deficiency<br>in<br>service<br>by<br>the<br>branch. The levy of such penalty will be |                                                                                                                                                                                                                               |
|                                                                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                        | placed in public domain.<br>Penalty will be levied immediately.                                                                                                                                                               |
|                                                                                                                                                                                                                                                                                                                       | b) Refusal by any bank branch to<br>exchange soiled notes / refusal by<br>any<br>currency<br>chest<br>branch<br>to<br>adjudicate<br>mutilated<br>notes<br>tendered by any member of public                                                             |                                                                                                                                                                                                                               |
|                                                                                                                                                                                                                                                                                                                       | c)<br>Non<br>conduct<br>of<br>surprise                                                                                                                                                                                                                 |                                                                                                                                                                                                                               |

