| Para No | Particulars                                                                                                                                               | Page<br>No. |
|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------|-------------|
| A       | Purpose                                                                                                                                                   | 1           |
| B       | Classification                                                                                                                                            | 1           |
| C       | Previous instructions                                                                                                                                     | 1           |
| D       | Application                                                                                                                                               | 1           |
| 1       | Introduction                                                                                                                                              | 2           |
| 2       | Guidelines                                                                                                                                                | 2           |
| 2.1     | General Guidelines                                                                                                                                        | 2           |
| 2.2     | Guidelines relating to conduct of guarantee business                                                                                                      | 3           |
| 2.2.1   | Norms for unsecured advances & guarantees                                                                                                                 | 3           |
| 2.2.2   | Precautions for issuing guarantees                                                                                                                        | 4           |
| 2.2.3   | Precautions for averting frauds                                                                                                                           | 4           |
| 2.2.4   | Ghosh Committee Recommendations                                                                                                                           | 4           |
| 2.2.5   | Internal Control Systems                                                                                                                                  | 5           |
| 2.2.6   | Guarantees on behalf of Banks' Directors                                                                                                                  | 5           |
| 2.2.7   | Bank Guarantee Scheme of Government of India                                                                                                              | 6           |
| 2.2.8   | Guarantees on Behalf of Share and Stock Brokers/ Commodity<br>Brokers                                                                                     | 6           |
| 2.2.9   | Guidelines relating to obtaining of personal guarantees of promoters,<br>directors, other managerial personnel, and shareholders of borrowing<br>concerns | 7           |
| 2.2.10  | Guarantees of State Government                                                                                                                            | 9           |
| 2.3     | Other Stipulations –Issuing Bid Bonds and Performance Guarantees<br>for export                                                                            | 9           |
| 2.3.1   | Unconditional<br>Guarantees<br>in<br>favour<br>of<br>Overseas<br>Employers/<br>Importers on behalf of Indian Exporters                                    | 10          |
| 2.3.2   | Certain Precautions in case of Project Exports                                                                                                            | 10          |
| 2.3.3   | Guarantees for Export Advance                                                                                                                             | 10          |
| 2.3.4   | Review of Banks' Procedures                                                                                                                               | 11          |
| 2.3.5   | Overseas Investments –<br>Guarantee<br>on behalf of Wholly Owned<br>Subsidiary (WOS) and Joint Venture (JV) abroad                                        | 11          |
| 2.4     | Restrictions on guarantees for placement of funds with NBFCs or<br>other non-bank entities                                                                | 12          |
| 2.5     | Payment of invoked guarantees                                                                                                                             | 15          |
| 2.6     | Co-acceptance of bills                                                                                                                                    | 17          |
| 2.6.1   | General                                                                                                                                                   | 17          |
| 2.6.2   | Safeguards                                                                                                                                                | 18          |
| 2.7     | Precautions to be taken in the case of Letters of Credit                                                                                                  | 20          |
| 2.8     | Compliance to the regulations of Foreign Exchange Management<br>Act, 2000                                                                                 | 20          |
| 2.9     | Compliance to the Prudential Norms                                                                                                                        | 20          |
| Annex 1 | Model Form of Bank Guarantee Bond                                                                                                                         | 21          |
| Annex 2 | List of circulars consolidated                                                                                                                            | 23          |

| Sl.No. | Circular No.                            | Date       | Subject                                                                                                                                                                                   |
|--------|-----------------------------------------|------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1.     | DBR.Dir.BC.No.70/13.03.00/2015-16       | 07.01.2016 | Non-Fund<br>Based<br>Facility<br>to<br>Non<br>constituent Borrowers of Bank                                                                                                               |
| 2.     | DBR.BP.BC.No.40/21.04.142/2015-16       | 24.09.2015 | Partial Credit Enhancement to Corporate<br>Bonds                                                                                                                                          |
| 3.     | DBR.No.BP.BC.85/21.04.048/2014-15       | 06.04.2015 | Prudential<br>Norms<br>on<br>Income<br>Recognition, Asset Classification and<br>Provisioning<br>pertaing<br>to<br>Advance<br>Refinancing of Exposures to Borrowers                        |
| 4.     | DBOD.No.BP.BC.107/21.04.048/2013-<br>14 | 22.04.2014 | Fund / Non-Fund based Credit Facilities<br>to<br>Overseas Joint Ventures / Wholly<br>Owned<br>Subsidiaries<br>/<br>Wholly owned<br>Step-down<br>Subsidiaries<br>of<br>Indian<br>Companies |
| 5.     | DBOD.BP.BC.No.98/21.04.132/2013-<br>14  | 26.02.2014 | Framework for Revitalising Distressed<br>Assets in the Economy - Refinancing of<br>Project Loans, Sale of NPA and Other<br>Regulatory Measures                                            |
| 6.     | Mail-Box Clarification                  | 19.05.2011 | Issue of Bank Guarantee (BG) / Letter of<br>Credit (LC) by Commercial Banks to<br>constituents of Co-operative Banks                                                                      |
| 7.     | DBOD.BP.BC.96/08.12.014/2009-10         | 23.04.2010 | Prudential<br>Norms<br>on<br>Advances<br>to<br>Infrastructure Sector                                                                                                                      |
| 8.     | DBOD.No.Dir.BC.136/13.03.00/2008-<br>09 | 29.05.2009 | Issue of Guarantees by Banks                                                                                                                                                              |
| 9.     | DBOD.No.BP.BC.127/21.04.009/2008-<br>09 | 22.04.2009 | Extension<br>of<br>Guarantee<br>-<br>Maturity<br>Beyond Ten Years                                                                                                                         |
| 10.    | Mail-Box Clarification                  | 15.04.2009 | Bank Guarantee with Auto Renewal<br>Clause                                                                                                                                                |
| 11.    | Mail-Box Clarification                  | 27.05.2008 | Signing of Bank Guarantee                                                                                                                                                                 |
| 12.    | DBOD.No.Dir.BC.72/13.03.00/2006-07      | 03.04.2007 | Guarantees for Export Advance                                                                                                                                                             |
| 13.    | DBOD.No.Dir.BC.51/13.03.00/2006-07      | 09.01.2007 | Banks' Exposure to Commodity Markets<br>– Margin Requirements                                                                                                                             |
| 14.    | DBOD.No.Dir.BC.35/13.07.10/2006-07      | 11.10.2006 | Guarantees and Co-acceptances                                                                                                                                                             |
| 15.    | DBOD.BP.BC.No.97/21.04.141/2003-<br>04  | 17.06.2004 | Annual Policy Statement for the year<br>2004-05<br>-<br>Prudential<br>Guidelines<br>on<br>Unsecured Exposures                                                                             |
