| Section<br>of MD | Existing Provisions                                                                                                                                                                                                                                                                          |                                                                                                    | Amended Provisions                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                |  |
|------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--|
| 19(d)            | Interest on floating rate deposits<br>shall be paid within the ceiling of<br>swap<br>rates<br>for<br>the<br>respective<br>currency/ maturity and in case of<br>fixed rate deposits, interest shall<br>be paid within the ceiling of LIBOR<br>rates for the respective currency/<br>maturity. |                                                                                                    | Interest on floating rate deposits shall be<br>paid within the ceiling of swap rates for the<br>respective currency/ maturity and in case of<br>fixed rate deposits, interest shall be paid<br>within the ceiling of Overnight Alternative<br>Rate*<br>Reference<br>for<br>the<br>respective<br>currency/ maturity. |                                                                                                                                                                                                                                                                                                |  |
| 19(f)            | The LIBOR/SWAP rates as on the<br>last working day of the preceding<br>month shall form the base for fixing<br>ceiling rates for the interest rates<br>offered effective in the following<br>month.                                                                                          |                                                                                                    | The Overnight Alternative Reference Rate*<br>for the respective currency<br>/SWAP rates as<br>on the last working day of the preceding<br>month shall form the base for fixing ceiling<br>rates for the interest rates offered effective<br>in the following month.                                                 |                                                                                                                                                                                                                                                                                                |  |
| 19(g)            | The interest rates ceiling on FCNR<br>(B) deposits shall be as under:<br>Period of<br>deposit<br>1 year to less<br>than 3 years<br>3 years and<br>above up to and<br>including 5<br>years                                                                                                    | Ceiling rate<br>LIBOR/ Swap<br>plus 200<br>basis points<br>LIBOR/ Swap<br>plus 300<br>basis points | deposits shall be as under:<br>Period of<br>deposit<br>1 year to less<br>than 3 years<br>3 years and<br>above up to<br>and including<br>5 years                                                                                                                                                                     | The interest rates ceiling on FCNR (B)<br>Ceiling rate<br>Overnight<br>Alternative<br>Reference Rate* for<br>the respective<br>currency / Swap plus<br>250<br>basis points<br>Overnight<br>Alternative<br>Reference Rate* for<br>the respective<br>currency / Swap plus<br>350<br>basis points |  |
| 19(h)            | The<br>LIBOR<br>/<br>quoted/displayed<br>Exchange Dealers Association of<br>India (FEDAI) shall be used as the<br>reference<br>for<br>interest<br>rates<br>deposits.                                                                                                                         | Swap<br>rates<br>by<br>Foreign<br>arriving<br>at<br>the<br>on<br>FCNR(B)                           | Alternative Reference Rate*<br>The Overnight<br>/ Swap rates<br>for the respective currency<br>quoted/displayed<br>by<br>Foreign<br>Exchange<br>Dealers Association of India (FEDAI) shall<br>be used as the reference for arriving at the<br>interest rates on FCNR (B) deposits.                                  |                                                                                                                                                                                                                                                                                                |  |

| Section        | Existing Provisions                                                                                                                                                                                                                                                     |                                                                         | Amended Provisions                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                           |  |
|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--|
| of MD<br>18(d) | Interest on floating rate deposits<br>shall be paid within the ceiling of<br>swap<br>rates<br>for<br>currency/ maturity and in case of<br>fixed rate deposits, interest shall<br>be paid within the ceiling of LIBOR<br>rates for the respective currency/<br>maturity. | the<br>respective                                                       | Interest on floating rate deposits shall be<br>paid within the ceiling of swap rates for<br>the respective currency/ maturity and in<br>case of fixed rate deposits, interest shall<br>be paid within the ceiling of Overnight<br>Rate*<br>Alternative<br>Reference<br>for<br>the<br>respective currency/ maturity. |                                                                                                                                                                                                           |  |
| 18(f)          | The LIBOR/SWAP rates as on the<br>last working day of the preceding<br>month shall form the base for fixing<br>ceiling rates for the interest rates<br>offered effective in the following<br>month.                                                                     |                                                                         | The<br>Overnight<br>Alternative<br>Reference<br>Rate* for the respective currency<br>/SWAP<br>rates as on the last working day of the<br>preceding month shall form the base for<br>fixing ceiling rates for the interest rates<br>offered effective in the following month.                                        |                                                                                                                                                                                                           |  |
| 18(g)          | The interest rates ceiling on FCNR<br>(B) deposits shall<br>Period of<br>deposit<br>1 year to less<br>than 3 years                                                                                                                                                      | be as under:<br>Ceiling rate<br>LIBOR/ Swap<br>plus 200<br>basis points | Period of<br>deposit<br>1 year to<br>less than 3<br>years                                                                                                                                                                                                                                                           | The interest rates ceiling on FCNR (B)<br>deposits shall be as under:<br>Ceiling rate<br>Overnight<br>Alternative<br>Reference Rate* for<br>the respective<br>currency / Swap plus<br>250<br>basis points |  |
|                | 3 years and<br>above up to and<br>including 5<br>years                                                                                                                                                                                                                  | LIBOR/ Swap<br>plus 300<br>basis points                                 | 3 years<br>and above<br>up to and<br>including 5<br>years                                                                                                                                                                                                                                                           | Overnight<br>Alternative<br>Reference Rate* for<br>the respective<br>currency / Swap plus<br>350<br>basis points                                                                                          |  |
| 18(h)          | The<br>/<br>Swap<br>rates<br>LIBOR<br>quoted/displayed<br>by<br>Foreign<br>Exchange Dealers Association of<br>India (FEDAI) shall be used as the<br>reference<br>for<br>arriving<br>at<br>the<br>interest<br>rates<br>on<br>FCNR(B)<br>deposits.                        |                                                                         | The<br>Overnight<br>Alternative<br>Reference<br>Rate* for the respective currency<br>/ Swap<br>rates<br>quoted/displayed<br>by<br>Foreign<br>Exchange Dealers Association of India<br>(FEDAI) shall be used as the reference<br>for arriving at the interest rates on FCNR<br>(B) deposits.                         |                                                                                                                                                                                                           |  |

