| Sr.<br>No. | Reference Number                               | Date                    | Subject                                                                                                                                                                                                                                                                                     |
|------------|------------------------------------------------|-------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1          | DPSS (CO) No.590/<br>01.01.15/2005             | October 17, 2005        | Electronic Clearing Service (ECS)                                                                                                                                                                                                                                                           |
| 2          | DPSS (CO) No.950/<br>04.01.01/2005-06          | December 23,<br>2005    | ECS (Debit Clearing) –<br>Revocation of<br>mandate by the customers                                                                                                                                                                                                                         |
| 3          | DPSS CO No.704/<br>03.01.14/2007-08            | November 15,<br>2007    | Access Criteria for Clearing Houses at MICR Centres –<br>Procedural Guidelines                                                                                                                                                                                                              |
| 4          | DPSS.CO. No. 1407 /<br>02.10.02 / 2007-08      | March 10, 2008          | Use of electronic mode of payment for large value transactions                                                                                                                                                                                                                              |
| 5          | DPSS.CO. No. 611 /<br>03.01.03(P) / 2008-09    | October 08, 2008        | Levy of Service Charges for Electronic Payment Products and Outstation Cheque<br>Collection                                                                                                                                                                                                 |
| 6          | DPSS.CO. No. 711 /<br>02.10.02 / 2008-09       | October 23, 2008        | Reconciliation of transactions at ATMs failure-Time limit                                                                                                                                                                                                                                   |
| 7          | DPSS (CO)RTGS No.<br>1288/04.04.002/2008-09    | January 28, 2009        | Extension of service window for RTGS transactions                                                                                                                                                                                                                                           |
| 8          | DPSS.CO. No. 1424 /<br>02.10.02 / 2008-09      | February 11, 2009       | Reconciliation of transactions at ATMs failure-Time limit                                                                                                                                                                                                                                   |
| 9          | DPSS (CO) EPPD No.2283<br>/ 04.01.04 / 2008-09 | June 25, 2009           | National Electronic Clearing Service (NECS) –<br>Optimal Usage and Expansion                                                                                                                                                                                                                |
| 10         | DPSS (CO) EPPD No. 191/<br>04.01.01 /2009-10   | July 29, 2009           | Electronic Clearing Service (ECS) –<br>Accuracy of Input Data and Completeness of<br>Account Number Information in ECS Mandates/Files                                                                                                                                                       |
| 11         | DPSS(CO)RTGS No.<br>1313/04.04.002/2009-10     | December 18,<br>2009    | Extension of Service Window for RTGS Transactions                                                                                                                                                                                                                                           |
| 12         | DPSS.CO.AD.No.1320/<br>02.27.005/2009-10       | December<br>22,<br>2009 | Know Your Customer (KYC) norms/Anti-Money Laundering (AML) standards/<br>Combating the Financing of Terrorism (CFT) obligation of Payment System Operators<br>under Prevention of Money Laundering Act, (PMLA), 2002, as amended by Prevention<br>of Money Laundering (Amendment) Act, 2009 |

| Sr.<br>No. | Reference Number                             | Date                    | Subject                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|------------|----------------------------------------------|-------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 13         | DPSS CO No. 2232 /<br>02.27.005/2009-2010    | April 13, 2010          | Know Your Customer (KYC) Norms/ Anti-Money Laundering (AML) Standards/<br>Combating of Financing of Terrorism (CFT)                                                                                                                                                                                                                                                                                                                          |
| 14         | DPSS.CO (CHD) No. 2387/<br>03.06.01 /2009-10 | May 06, 2010            | Levy of interest on clearing-related overdraft extended by Clearing House managing<br>banks for settling clearing obligations of member banks                                                                                                                                                                                                                                                                                                |
