| S. No. | Return Name                                                  | Return Description                                                                                                                 |
|--------|--------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------|
| 1      | Return on Offshore Banking Units<br>(OBUs)<br>–<br>Quarterly | Return for capturing details on off-shore banking units.                                                                           |
| 2      | Statement on bad debts written off.<br>–<br>Yearly           | Main objective of the proposed reporting is to provide information to the bank<br>on<br>bad debts written off.                     |
| 3      | Fraud Monitoring Return 2 (FMR2)<br>–<br>Quarterly           | To capture the summary of all frauds during the quarter involving an amount of<br>Rs 1 lakh or more for all NBFC-D and NBFC-NDSIs. |

| S. No. | Return Name                                                             | Return Description                                                                                                                                                                                                                                                                                                                                                                      |
|--------|-------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1      | Report on financial conglomerates –<br>Quarterly                        | Capturing the intra-group transactions and exposures amongst the<br>identified FCs.                                                                                                                                                                                                                                                                                                     |
| 2      | Whole Bank Long Form Audit Report<br>and Compliance thereof –<br>Yearly | The Statutory Central Auditors are required to submit the LFAR to the<br>banks latest by 30th June every year. The banks were advised to forward<br>a copy each of the LFAR, relative agenda note along with Board's views<br>or directions to the concerned Regional Office of Department of Banking<br>Supervision within 60 days of submission of LFAR by the Statutory<br>Auditors. |
| 3      | Half-Yearly Review of Investment<br>Portfolio –<br>Half-yearly          | Qualitative/ Quantitative review of entire investment portfolio of the bank<br>for the half year.                                                                                                                                                                                                                                                                                       |
| 4      | Fraud Monitoring Return 1 (FMR1) –<br>as<br>and when                    | To capture the details of the fraud committed by staff, outsiders or<br>customers involving an amount of Rs 1 lakh or more for all NBFC-D and<br>NBFC-NDSIs.                                                                                                                                                                                                                            |

| 5 | Fraud Monitoring Return 3 (FMR3) –<br>Quarterly                              | To capture the updated information in respect of frauds reported through<br>FMR-1 for all NBFC-D and NBFC-NDSIs.                                |
|---|------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------|
| 6 | Return on delay in Rating Review (by<br>Credit Rating Agencies) –<br>Monthly | Information on latest ratings provided by the Credit Rating Agencies<br>(CRAs) during the month and ratings delayed in review                   |
| 7 | Quarterly Return for Frauds less than ₹<br>1 lakh –<br>Quarterly             | Unified FMR for below 1 lakh*                                                                                                                   |
| 8 | KYC AML -<br>Quarterly                                                       | This return captures information which facilitates supervision in better risk<br>discovery, improved risk-assessment and Risk Based Assessment. |

