| S. No. | Return Name                  | Return Description                                          |
|--------|------------------------------|-------------------------------------------------------------|
| 1      | Details of guarantee availed | Non-resident guarantee for fund based and non               |
|        | and invoked of from non      | fund<br>based<br>facilities<br>(such<br>as<br>Letters<br>of |
|        | resident entities            | Credit/guarantees/Letter<br>of<br>Undertaking<br>(LoU)      |
|        |                              | /Letter of Comfort (LoC) entered into between two           |
|        |                              | persons resident in India.                                  |
|        |                              |                                                             |

| S. No. | Return Name                                                                                                                                                                                                  | Return Description                                                                                                                                                                                                                                                                            |
|--------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1      | FII Weekly                                                                                                                                                                                                   | All AD banks advised to report inflow/ of outflow of<br>foreign<br>funds<br>on<br>account<br>of<br>investment<br>by<br>FIIs/FPIs in the Indian capital market in a format<br>which consists of two parts: Part A: Inflow/outflow<br>Fund Position and<br>Part B: Residual Maturity<br>Pattern |
| 2      | MTSS                                                                                                                                                                                                         | Statement showing details of remittances received<br>through Money Transfer Service Scheme during<br>the quarter ended, within 15 days from the close of<br>the quarter to which it relates.                                                                                                  |
| 3      | Statement on default in MTT                                                                                                                                                                                  | Statement<br>on<br>default<br>in<br>Merchanting<br>Trade<br>Transactions (MTT)                                                                                                                                                                                                                |
| 4      | Details of remittances made<br>by NRO account                                                                                                                                                                | Remittances made out of NRO accounts up to 1<br>million USD per calendar year -<br>Facilities to<br>NRIs/PIOs and foreign nationals - liberalisation                                                                                                                                          |
| 5      | Overseas Principal-wise list of<br>Sub Agents                                                                                                                                                                | Overseas principal-wise list of sub-agents of MTSS<br>Indian Agents                                                                                                                                                                                                                           |
| 6      | Declaration<br>confirming<br>the<br>veracity of the list placed on<br>RBI website                                                                                                                            | Confirmation of veracity of the list of sub-agents                                                                                                                                                                                                                                            |
| 7      | List of additional locations                                                                                                                                                                                 | List of additional locations of MTSS Agents                                                                                                                                                                                                                                                   |
| 8      | Statement<br>of<br>Foreign<br>Currency<br>Account/s<br>maintained in India in their<br>names with AD Category-I<br>Banks out of export proceeds<br>of Foreign Currency Notes/<br>encashed Travelers' Cheques | Statement<br>of<br>Foreign<br>Currency<br>Account/s<br>maintained in India in their names with AD<br>Category-I Banks out of export proceeds of<br>Foreign Currency Notes/ encashed Travelers'<br>Cheques                                                                                     |
| 9      | Statement of the amount of<br>foreign currency written off<br>during a financial year                                                                                                                        | Statement of the amount of foreign currency<br>written off during a financial year                                                                                                                                                                                                            |
| 10     | Form RMC-F                                                                                                                                                                                                   | RMC- Restricted Money Changing                                                                                                                                                                                                                                                                |
| 11     | Statement of the collateral<br>held by MTSS Indian Agents                                                                                                                                                    | Statement of the collateral held by MTSS Indian<br>Agents                                                                                                                                                                                                                                     |
| 12     | Details<br>of Online<br>Payment<br>Gateway<br>Service<br>Providers<br>(OPGSP) arrangements                                                                                                                   | Details<br>of<br>Online<br>Payment<br>Gateway<br>Service<br>Providers (OPGSP) arrangements                                                                                                                                                                                                    |
| 13     | Extension of time in respect of<br>clean<br>credit<br>for<br>import<br>of<br>rough,<br>cut<br>and<br>polished<br>diamonds                                                                                    | Extension of time in respect of clean credit for<br>import of rough, cut and polished diamonds                                                                                                                                                                                                |

| 14 | Advance remittances made<br>for import of rough diamonds<br>without a bank guarantee or<br>standby letter of credit, where<br>the<br>amount<br>of<br>advance<br>payment is equivalent to or<br>exceeds USD 5,000,000/- | Advance remittances made for import of rough<br>diamonds without a bank guarantee or standby<br>letter of credit, where the amount of advance<br>payment<br>is<br>equivalent<br>to<br>or<br>exceeds<br>USD<br>5,000,000/- |
|----|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 15 | ESOP reporting                                                                                                                                                                                                         | "Statement of shares repurchased by the issuing<br>foreign company from Indian employees/ Directors<br>under ESOP Schemes for the year ended March<br>31, …………. (Year)                                                    |
|    |                                                                                                                                                                                                                        | (to be submitted on the letterhead of the Indian<br>Company / Office / Branch through their AD bank)"                                                                                                                     |
| 16 | FLM-8 (Sale and purchase of<br>foreign currency)                                                                                                                                                                       | Summary statement of purchases and sale of<br>foreign currency notes during the month reported<br>by FFMCs and AD-Category II.                                                                                            |
| 17 | LO/BO/PO                                                                                                                                                                                                               | Consolidated list of all the Branch Office (BO)/<br>Liaison Office (LO) / Project Office (PO) opened<br>and closed by them during a month                                                                                 |
| 18 | Reporting<br>of<br>Long<br>term<br>Advance                                                                                                                                                                             | Reporting of Long<br>term Advance of USD 100<br>million & more along with Progress Report to be<br>submitted by Authorised Dealer Bank on utilization<br>of Long term export Advances                                     |
| 19 | Form ECB                                                                                                                                                                                                               | Application and Reporting of loan agreement<br>details                                                                                                                                                                    |
| 20 | Form ECB 2                                                                                                                                                                                                             | Reporting of actual ECB transactions through AD<br>Category -1 banks                                                                                                                                                      |
| 21 | Form TC                                                                                                                                                                                                                | Compilation of short-term credit extended for<br>imports and payments thereof                                                                                                                                             |
