| Sr.<br>No. | Nature of Irregularity                                                                   | Penalty                                                                                                                                                   |
|------------|------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------|
| i.         | Shortages in soiled note remittances<br>and currency chest balances                      | For notes in denomination up to ₹50<br>₹50/- per piece in addition to the loss.                                                                           |
|            |                                                                                          | For notes in denomination of ₹100<br>& above                                                                                                              |
|            |                                                                                          | Equal to the value of the denomination per<br>piece in addition to the loss.                                                                              |
|            |                                                                                          | The recovery of loss and imposition of<br>penalty shall be done immediately on<br>detection<br>of<br>shortage,<br>irrespective<br>of<br>number of pieces. |
| ii.        | Counterfeit notes detected in soiled<br>note remittances and currency chest<br>balances. | Penalty shall be levied in terms of the<br>instructions issued by DCM (FNVD) No.G<br>1/16.01.05/2022-23 dated April 01, 2022.                             |
| iii.       | Mutilated notes (including deliberately<br>cut notes and built-up notes) detected        | ₹50/-<br>per<br>piece<br>irrespective<br>of<br>the<br>denomination<br>in<br>addition<br>to<br>the<br>loss.                                                |

|     | in<br>soiled<br>note<br>remittances<br>and<br>currency chest balances                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | The recovery of loss and imposition of<br>penalty shall be done immediately on<br>detection,<br>irrespective<br>of<br>number<br>of<br>pieces.                                                                                             |
|-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| iv. | Non-compliance<br>with<br>operational<br>guidelines by<br>currency chests detected<br>by<br>RBI<br>officials.<br>a)<br>Non-functioning<br>of<br>CCTV,<br>non<br>compliance<br>with<br>rules/guidelines<br>pertaining<br>to<br>CCTV,<br>recording<br>preservation period and related issues.                                                                                                                                                                                                                                                                                                                                                     | Penalty of ₹5000 for each instance of<br>irregularity.<br>Penalty shall be enhanced to ₹10,000 in<br>case<br>of<br>repetition/<br>recurrence<br>of<br>irregularity.<br>Penalty shall be levied immediately.                               |
| v.  | b) Branch cash/documents kept in<br>strong<br>room<br>(CC's<br>vault).<br>c)<br>Non-utilization<br>of<br>Note<br>Sorting<br>Machines (NSMs) for sorting of notes<br>(NSMs not used for sorting of high<br>denomination<br>notes,<br>i.e<br>notes<br>of<br>denomination<br>₹100<br>and<br>above,<br>received over the counter or not used<br>for sorting notes remitted to chest/RBI)<br>Violation<br>of<br>any<br>of<br>the<br>terms<br>of<br>agreement with RBI (for opening and<br>maintaining<br>currency<br>chests)<br>or<br>deficiency<br>in<br>service<br>in<br>providing<br>exchange facilities, as detected by RBI<br>officials<br>e.g. | ₹10,000 for any violation of agreement or<br>deficiency of service.<br>₹5 lakh in case there are more than 5<br>instances<br>of<br>violation<br>of<br>agreement/deficiency in service by the<br>branch. The levy of such penalty shall be |
|     | a) Non-issue of coins over the counter<br>to any member of public despite having<br>stock.<br>b) Refusal by any bank branch to<br>exchange soiled notes / refusal by any<br>currency chest branch to adjudicate<br>mutilated<br>notes<br>tendered<br>by<br>any<br>member of public.<br>c) Non-conduct of surprise verification<br>of<br>currency<br>chest<br>balances<br>at<br>(i)<br>bimonthly<br>intervals<br>by<br>officials<br>unconnected<br>with<br>the<br>custody<br>of                                                                                                                                                                  | placed in public domain.<br>Penalty shall be levied immediately.                                                                                                                                                                          |

|    | intervals<br>by<br>the<br>officials<br>from<br>the<br>Controlling Office.                                                                                                            |                                                                                                                                                                                                    |
|----|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    | d) Denial of facilities/services to linked<br>branches / linked CCs of other banks.                                                                                                  |                                                                                                                                                                                                    |
|    | e)<br>Non<br>acceptance<br>of<br>lower<br>denomination notes (i.e. denomination<br>of<br>₹50<br>and<br>below)<br>tendered<br>by<br>members of public<br>and linked bank<br>branches. |                                                                                                                                                                                                    |
|    | f)<br>Detection<br>by<br>RBI<br>of<br>mutilated<br>/counterfeit<br>notes<br>in<br>re-issuable<br>packets<br>prepared<br>by<br>the<br>currency<br>chest branches.                     |                                                                                                                                                                                                    |
| vi | Non-replenishment of ATMs                                                                                                                                                            | Penalty<br>shall<br>be<br>levied<br>in<br>terms<br>of<br>provisions of circular DCM(RMMT) No.<br>S153/11.01.01/2021-22 dated August 10,<br>2021,<br>and<br>instructions<br>issued<br>subsequently. |

