| No. | Circular No.                                 | Date       | Subject                                                                                                                                                                                                                                                                                                                                   |
|-----|----------------------------------------------|------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1   | Ref.DGBA.GAD.No.130/45.01.001/2002-<br>03    | 30.08.2002 | Single Window System for Reimbursement of<br>pension<br>payments<br>made<br>to<br>Central<br>Government Civil Pensioners by public sector<br>banks                                                                                                                                                                                        |
| 2   | Ref.DGBA.GAD.No.H<br>506/45.01.001/2002-03   | 12.04.2003 | Payment<br>of<br>Pension<br>to<br>Government<br>Pensioners through Public Sector Banks –<br>Steps taken by Government to minimize delay<br>in<br>payment<br>of<br>Dearness<br>Relief<br>(DR)<br>to<br>Pensioners –<br>Discontinuation of forwarding<br>Government<br>orders in<br>respect<br>of DR etc.<br>through Reserve Bank of India. |
| 3   | Ref.DGBA.GAD.No11303/45.<br>01.003/2005-06   | 06.02.2006 | Disbursement of pension through Public Sector<br>Banks – Payment of Dearness Relief (DR)                                                                                                                                                                                                                                                  |
| 4   | Ref.DGBA.GAD.No.H<br>3085/45.01.001/2008-09  | 01.10.2008 | Recommendations of the Prabhakar Rao<br>Committee on customer service –<br>Pension<br>Payments.                                                                                                                                                                                                                                           |
| 5   | DGBA.GAD.No H-3078/45.01.001/2008-<br>09     | 01.10.2008 | Establishment<br>of<br>Centralised<br>Pension<br>Processing Centre (CPPC)                                                                                                                                                                                                                                                                 |
| 6   | Ref.DGBA.GAD.No.H<br>7652/45.05.031/2008-09  | 03.03.2009 | Scheme for payment of pension to Central<br>Government<br>Civil/Defence/Railway/Telecom/<br>Freedom<br>Fighters/<br>State<br>Governments<br>Pensioners by Public Sector Banks-Staggering<br>of pension payments by PSBs.                                                                                                                  |
| 7   | Ref.DGBA.GAD.No.H<br>10450/45.03.001/2008-09 | 01.06.2009 | Recovery / Refund of overpayment of pension<br>to the Government Account.                                                                                                                                                                                                                                                                 |
| 8   | Ref.DGBA.GAD.No.H<br>3194/45.01.001/2009-10  | 14.10.2009 | Scheme for payment of pension to Central<br>Civil/ Defence/ Railway/Telecom Pensioners/<br>Freedom<br>Fighters/<br>State<br>Governments'<br>Pensioners<br>through<br>Public<br>Sector<br>Banks<br>Facility for withdrawal of pension by old/ sick/<br>disabled/ incapacitated pensioners.                                                 |
| 9   | Ref.DO.No.CSD.CO/8793/13.01.001/2009-<br>10  | 09.04.2010 | Pension Payment to central/ State Govt.<br>Pensioners<br>by<br>agency<br>Banks<br>Compensation for delay                                                                                                                                                                                                                                  |
|     | 10 DGBA.GAD.No.H-46/45.01.001/2010-11        | 02.07.2010 | Pension Payment to central/ State Govt.<br>Pensioners<br>by<br>agency<br>Banks<br>Compensation for delay                                                                                                                                                                                                                                  |

| 11 | DGBA.GAD.No.H-6212 & 6213<br>/45.01.001/2010-11                       | 11.03.2011 | Pension Payment to central/ State Govt.<br>Pensioners<br>by<br>agency<br>Banks<br>Compensation for delay                                                       |
|----|-----------------------------------------------------------------------|------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 12 | DGBA.GAD.No.H-6760 & 6762<br>/5.01.001/2011-12                        | 13.04.2012 | Pension Payment to central/ State Govt.<br>Pensioners<br>by<br>agency<br>Banks<br>Compensation for delay                                                       |
| 13 | Ref.DGBA.GAD.No.H<br>7386/45.01.001/2012-13                           | 03.06.2013 | Payment<br>of<br>pension<br>to<br>the<br>Central<br>Government pensioners- Continuation of<br>either or survivor pension account after death<br>of a pensioner |
| 14 | Ref.DGBA.GAD.No.H-27/45.01.001/2014-<br>15                            | 01.07.2014 | Redressal of Grievances of Pensioners                                                                                                                          |
| 15 | Ref.DGBA.GAD.No.H4054/45.03.001/2014-<br>15                           | 13.03.2015 | Recovery<br>/<br>Refund<br>of<br>overpayment<br>of<br>pension to the Government Account.                                                                       |
| 16 | RBI/2014-15/587: DGBA.GAD.No.H-5013<br>/45.01.001/2014-15             | 07.05.2015 | Mandatory issue of acknowledgement to<br>pensioners<br>on<br>submission<br>of<br>life<br>Certificates                                                          |
| 17 | RBI/2016-17/271<br>DGBA.GAD.No.2646/31.02.007/2016-17                 | 07.04.2017 | Systems<br>and<br>Controls<br>for<br>Conduct<br>of<br>Government Banking                                                                                       |
| 18 | RBI/2017-18/111<br>DGBA.GBD/1616/15.02.005/2017-18                    | 21.12.2017 | Prompt<br>implementation<br>of<br>Governments'<br>instructions by agency banks                                                                                 |
| 19 | Ref.DGBA.GBD.No.3214/45.01.001/2017<br>-18                            | 21.06.2018 | Customer Service provided by agency banks                                                                                                                      |
| 20 | RBI/2020-21/84<br>DGBA.GBD.No.SUO 546 /45.01.001/2020-<br>21 (para 3) | 21.01.2021 | Withdrawal of circulars -<br>on Recovery of<br>excess pension made to pensioners                                                                               |
