| Sl.<br>No. | Circular No.                                    | Date                 | Subject                                                                                                                                                                                                                                         |
|------------|-------------------------------------------------|----------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1.         | DCBR.CO.LS (PCB)<br>Cir.No.4/07.01.000/2014-15  | January<br>28, 2015  | Circular<br>on<br>"Classification<br>of<br>UCBs for Regulatory Purposes -<br>Revised Norms"                                                                                                                                                     |
| 2.         | UBD.CO.LS (PCB)<br>Cir.No.20/07.01.000/2014-15  | October<br>13, 2014  | Definition of FSWM UCBs in<br>second<br>para<br>of<br>circular<br>on<br>circular on "Review of norms for<br>classification<br>of<br>Urban<br>Co<br>operative<br>Banks<br>(UCBs)<br>as<br>Financially<br>Sound<br>and<br>Well<br>Managed (FSWM)" |
| 3.         | UBD.CO.LS.(PCB).Cir.No.24/<br>07.01.000/2013-14 | October<br>01, 2013  | Definition of FSWM UCBs in<br>second<br>para<br>of<br>circular<br>on<br>"Review<br>of<br>norms<br>for<br>classification<br>of<br>Financially<br>Sound<br>and<br>Well<br>Managed<br>(FSWM)<br>Urban<br>Co-operative<br>Banks (UCBs)"             |
| 4.         | UBD.CO.LS.Cir.No.26/<br>07.01.000 /2010-11      | November<br>16, 2010 | Definition of FSWM UCBs in<br>second para of circular on "UCBs<br>–Norms for Opening of branches<br>and<br>extension<br>counters<br>Liberalised"                                                                                                |
| 5.         | UBD.CO.LS.Cir.No.25/<br>07.01.000/ 2010-11      | November<br>16, 2010 | Definition of FSWM UCBs in first<br>para<br>of<br>circular<br>on<br>"Second<br>Quarter Review of the Monetary<br>Policy for 2010-11 Extension of<br>Area<br>of<br>Operation<br>Liberalisation"                                                  |

| Sl. No. | Circular No.                                       | Date                 | Subject                                                                                                                              |
|---------|----------------------------------------------------|----------------------|--------------------------------------------------------------------------------------------------------------------------------------|
| 1.      | UBD.CO.LS (PCB)<br>Cir.No.20/07.01.000/2014-<br>15 | October<br>13, 2014  | Review of norms for classification<br>of<br>Urban<br>Co-operative<br>Banks<br>(UCBs) as Financially Sound and<br>Well Managed (FSWM) |
| 2.      | UBD.CO.LS.(PCB).Cir.No.2<br>4/07.01.000/2013-14    | October<br>01, 2013  | Review of norms for classification<br>of Financially Sound and Well<br>Managed<br>(FSWM)<br>Urban<br>Co<br>operative Banks (UCBs)    |
| 3.      | UBD.CO.LS.Cir.No.26/<br>07.01.000 /2010-11         | November<br>16, 2010 | UCBs<br>–Norms<br>for<br>Opening<br>of<br>branches and extension counters<br>Liberalised                                             |
| 4.      | UBD.CO.LS.Cir.No.25/<br>07.01.000/ 2010-11         | November<br>16, 2010 | Second Quarter Review of the<br>Monetary<br>Policy<br>for<br>2010-11<br>Extension of Area of Operation<br>Liberalisation             |
