| Sr.<br>No. | Description                                                                                                                                                                                                                                                                                                                                    | Amount<br>(Rs. crore) |
|------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------|
| 1          | Paid-up share capital collected from regular members having<br>voting powers                                                                                                                                                                                                                                                                   |                       |
| 2          | Perpetual Non-Cumulative Preference Shares (PNCPS)                                                                                                                                                                                                                                                                                             |                       |
| 3          | Contributions received from associate/ nominal members<br>where the by-laws permit allotment of shares to them and<br>provided there are restrictions on withdrawals of such shares,<br>as applicable to regular members                                                                                                                       |                       |
| 4          | Contribution/ non-refundable admission fees collected from<br>the nominal and associate members which is held separately<br>as 'reserves' under an appropriate head since these are not<br>refundable                                                                                                                                          |                       |
| 5          | Free Reserves including "Building Fund", Capital Reserves<br>etc. but excluding Revaluation Reserves. Free reserves shall<br>exclude all reserves / provisions which are created to meet<br>anticipated loan losses, losses on account of fraud etc.,<br>depreciation in<br>investments and other assets,<br>and other<br>outside liabilities. |                       |
| 6          | Investment Fluctuation Reserve (IFR) in excess of stipulated<br>5% of investment in AFS & HFT categories1                                                                                                                                                                                                                                      |                       |
| 7          | Credit balance in Profit & Loss Account, if any                                                                                                                                                                                                                                                                                                |                       |
| Deductions |                                                                                                                                                                                                                                                                                                                                                |                       |
| 8          | Debit balance in Profit & Loss Account, if any                                                                                                                                                                                                                                                                                                 |                       |
| 9          | All Intangible Assets, including, inter alia, Deferred Tax<br>Assets (DTA)                                                                                                                                                                                                                                                                     |                       |

