| Sr  | Circular No.                      | Date                 | Subject                                                                                                                                                                           |
|-----|-----------------------------------|----------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| No. |                                   |                      |                                                                                                                                                                                   |
| 1   | DBOD.No.BM.932/<br>C.297(A)-68    | June 15,<br>1968     | The<br>Export<br>Credit<br>(Interest<br>Subsidy) Scheme, 1968                                                                                                                     |
| 2   | DBOD.No.1526/<br>C.297(M)-68      | November 13,<br>1968 | The<br>Export<br>Credit<br>(Interest<br>Subsidy) Scheme, 1968                                                                                                                     |
| 3   | DBOD.No.BM.126/<br>C.297(M)-69    | January 27,<br>1969  | Packing Credit Advances                                                                                                                                                           |
| 4   | DBOD.No.BM.287/<br>C.297(M)-69    | February 19,<br>1969 | Export Credit (Interest Subsidy)<br>Scheme, 1968                                                                                                                                  |
| 5   | DBOD.No.BM.222/<br>C.297M-70      | February 11,<br>1970 | Export Credit                                                                                                                                                                     |
| 6   | DBOD.No.BM.1272/<br>C.297(M)-70   | August 24,<br>1970   | Export Credit (Interest Subsidy)<br>Scheme, 1968                                                                                                                                  |
| 7   | DBOD.No.BM.BC.31/<br>C.297(T)-71  | March 22,<br>1971    | Export Credit (Interest Subsidy)<br>Scheme,<br>1968<br>-<br>Audit<br>Requirements                                                                                                 |
| 8   | DBOD.No.DM.DC.30/<br>C.297(T)-71  | March 22,<br>1971    | Export Credit (Interest Subsidy)<br>Scheme,<br>1968<br>-<br>Audit<br>Requirements                                                                                                 |
| 9   | DBOD.No.BM.BC.56/<br>C.297(M)-71  | April 23,<br>1971    | Export Credit (Interest Subsidy)<br>Scheme, 1968                                                                                                                                  |
| 10  | DBOD.No.BM.BC.70/<br>C.297(M)-71  | June 04,<br>1971     | Interest<br>Subsidy<br>Refinance<br>in<br>respect<br>of<br>Packing<br>Credit<br>Advances<br>Covered<br>by<br>Export<br>Production Finance Guarantee of<br>ECGC -<br>Clarification |
| 11  | DBOD.No.DM.BC.90/<br>C.297(M)-71  | July 30,<br>1971     | Packing<br>Credit<br>Advances<br>by<br>Banks to Small Scale Industrial<br>Units                                                                                                   |
| 12  | DBOD.No.BM.BC.120/<br>C.297(T)-71 | October 07,<br>1971  | Export Credit (Interest Subsidy)<br>Scheme, 1968                                                                                                                                  |
| 13  | DBOD.No.BM.BC.136/<br>C.297(M)-71 | November 23,<br>1971 | Export Credit (Interest Subsidy)<br>Scheme, 1968                                                                                                                                  |
| 14  | DBOD.No.BM.BC.2/<br>C.297(T)-73   | January 20,<br>1973  | Export Credit (Interest Subsidy)<br>Scheme,<br>1968<br>-<br>Audit<br>Requirements                                                                                                 |
| 15  | DBOD.No.ECC.BC.90/<br>C.297P-75   | October 23,<br>1975  | Export Credit                                                                                                                                                                     |
