|       |                                             |                                    | Credit Linked SHGs in the month |                |                      |                |                      |                     | Credit outstanding   |             |                        |
|-------|---------------------------------------------|------------------------------------|---------------------------------|----------------|----------------------|----------------|----------------------|---------------------|----------------------|-------------|------------------------|
| S. No | No of SHGs with SB account                  |                                    |                                 | New Loans      |                      | Repeat Loans   |                      | Cumulative          |                      |             |                        |
|       | Total S/B<br>accounts<br>till last<br>month | New a/c<br>opened<br>this<br>month | Cumulative                      | No of<br>loans | Amount<br>Disbursed* | No of<br>loans | Amount<br>Disbursed* | No of<br>loans      | Amount<br>Disbursed* | No of loans | Amount<br>Outstanding* |
|       | 1(a)                                        | 1(b)                               | 1( c ) =<br>1(a)+1(b)           | 2(a)           | 2(b)                 | 3(a)           | 3(b)                 | 4(a) =<br>2(a)+3(a) | 4(b)=2(b)+3(b)       | 5(a)        | 5(b)                   |
|       |                                             |                                    |                                 |                |                      |                |                      |                     |                      |             |                        |
|       |                                             |                                    |                                 |                |                      |                |                      |                     |                      |             |                        |
|       |                                             |                                    |                                 |                |                      |                |                      |                     |                      |             |                        |
|       |                                             |                                    |                                 |                |                      |                |                      |                     |                      |             |                        |
|       |                                             |                                    |                                 |                |                      |                |                      |                     |                      |             |                        |

| SL No | No of loan<br>accounts | Amount<br>outstanding* | Irregular accounts (4) |                    | Details of the NPA accounts (5) |         |  |
|-------|------------------------|------------------------|------------------------|--------------------|---------------------------------|---------|--|
|       |                        |                        | No<br>of<br>accounts   | Overdue<br>Amount* | No of accounts                  | Amount* |  |
| 1     | 2                      | 3                      | 4(a)                   | 4(b)               | 5(a)                            | 5(b)    |  |
|       |                        |                        |                        |                    |                                 |         |  |
|       |                        |                        |                        |                    |                                 |         |  |
|       |                        |                        |                        |                    |                                 |         |  |
|       |                        |                        |                        |                    |                                 |         |  |

| Particulars                                              | Months in one Quarter        |                              |                              |  |  |  |
|----------------------------------------------------------|------------------------------|------------------------------|------------------------------|--|--|--|
|                                                          | Month 1                      | Month 2                      | Month 3                      |  |  |  |
| Loan Amount Outstanding at the beginning of the month    | 750000                       | 725000                       | 700000                       |  |  |  |
| (Rs)                                                     |                              |                              |                              |  |  |  |
| Loan Amount Outstanding at the end of the month (Rs)     | 725000                       | 700000                       | 675000                       |  |  |  |
| Average loan outstanding during the month (Rs)* -<br>[A] | ~737500                      | ~712500                      | ~687500                      |  |  |  |
| Out of [A]<br>–<br>Applicable RoI                        |                              |                              |                              |  |  |  |
| @7%                                                      | 300000                       | 300000                       | 300000                       |  |  |  |
| @ 1yr –<br>MCLR                                          | 200000                       | 200000                       | 200000                       |  |  |  |
| @ Bank lending rate                                      | 237500                       | 212500                       | 187500                       |  |  |  |
| Calculation of Interest Subvention                       |                              |                              |                              |  |  |  |
| Scenario 1                                               |                              |                              |                              |  |  |  |
| Status of account                                        | Regular/ standard            | Regular/ standard            | Regular/ standard            |  |  |  |
| Amount of interest subvention#                           |                              |                              |                              |  |  |  |
| @ 4.5%                                                   | (300000 x 4.5%)/12 = 1125.00 | (300000 x 4.5%)/12 = 1125.00 | (300000 x 4.5%)/12 = 1125.00 |  |  |  |
| @ 5%                                                     | (200000 x 5.0%)/12 = 833.33  | (200000 x 5.0%)/12 = 833.33  | (200000 x 5.0%)/12 = 833.33  |  |  |  |
| Total subvention amount for the quarter                  | Rs 5875                      |                              |                              |  |  |  |
| Scenario 2                                               |                              |                              |                              |  |  |  |
| Status of account                                        | Overdue                      | Overdue                      | NPA                          |  |  |  |
| Amount of interest subvention#                           |                              |                              |                              |  |  |  |
| @ 4.5%                                                   | (300000 x 4.5%)/12 = 1125.00 | (300000 x 4.5%)/12 = 1125.00 | NIL                          |  |  |  |
| @ 5%                                                     | (200000 x 5.0%)/12 = 833.33  | (200000 x 5.0%)/12 = 833.33  | NIL                          |  |  |  |
| Total subvention amount for the quarter                  | Rs 3917                      |                              |                              |  |  |  |

| Particulars                                              | Months in one Quarter          |                                |                              |  |
|----------------------------------------------------------|--------------------------------|--------------------------------|------------------------------|--|
|                                                          | Month 1                        | Month 2                        | Month 3                      |  |
| Loan Amount Outstanding at the beginning of the month    | 450000                         | 425000                         | 400000                       |  |
| (Rs)                                                     |                                |                                |                              |  |
| Loan Amount Outstanding at the end of the month (Rs)     | 425000                         | 400000                         | 375000                       |  |
| Average loan outstanding during the month (Rs)* -<br>[A] | ~437500                        | ~412500                        | ~387500                      |  |
| Out of [A]<br>-<br>Applicable RoI                        |                                |                                |                              |  |
| @7%                                                      | 300000                         | 300000                         | 300000                       |  |
| @ 1yr –<br>MCLR                                          | 137000                         | 112500                         | 87500                        |  |
| @ Bank lending rate                                      | NIL                            | NIL                            | NIL                          |  |
| Calculation of Interest Subvention                       |                                |                                |                              |  |
| Scenario 1                                               |                                |                                |                              |  |
| Status of account                                        | Regular/ standard              | Regular/ standard              | Regular/ standard            |  |
| Amount of interest subvention#                           |                                |                                |                              |  |
| @ 4.5%                                                   | (300000 x 4.5%)/12 = 1125.00   | (300000 x 4.5%)/12 = 1125.00   | (300000 x 4.5%)/12 = 1125.00 |  |
| @ 5%                                                     | (137000 x 5.0%)/12 = 570.83    | (112500 x 5.0%)/12 =<br>468.75 | (87500 x 5.0%)/12 = 364.58   |  |
| Total subvention amount for the quarter                  | Rs 4779                        |                                |                              |  |
| Scenario 2                                               |                                |                                |                              |  |
| Status of account                                        | Overdue                        | Overdue                        | NPA                          |  |
| Amount of interest subvention#                           |                                |                                |                              |  |
| @ 4.5%                                                   | (300000 x 4.5%)/12 = 1125.00   | (300000 x 4.5%)/12 = 1125.00   | NIL                          |  |
| @ 5%                                                     | (137000<br>x 5.0%)/12 = 570.83 | (112500 x 5.0%)/12 = 468.75    | NIL                          |  |
| Total subvention amount for the quarter                  | Rs 3290                        |                                |                              |  |

| Particulars                                              | Months in one Quarter        |                              |                             |  |
|----------------------------------------------------------|------------------------------|------------------------------|-----------------------------|--|
|                                                          | Month 1                      | Month 2                      | Month 3                     |  |
| Loan Amount Outstanding at the beginning of the month    | 350000                       | 325000                       | 300000                      |  |
| (Rs)                                                     |                              |                              |                             |  |
| Loan Amount Outstanding at the end of the month (Rs)     | 325000                       | 300000                       | 275000                      |  |
| Average loan outstanding during the month (Rs)* -<br>[A] | ~337500                      | ~312500                      | ~287500                     |  |
| Out of [A]<br>-<br>Applicable RoI                        |                              |                              |                             |  |
| @7%                                                      | 300000                       | 300000                       | 287000                      |  |
| @ 1yr –<br>MCLR                                          | 37000                        | 12500                        | NIL                         |  |
| @ Bank lending rate                                      | NIL                          | NIL                          | NIL                         |  |
| Calculation of Interest Subvention                       |                              |                              |                             |  |
| Scenario 1                                               |                              |                              |                             |  |
| Status of account                                        | Regular/ standard            | Regular/ standard            | Regular/ standard           |  |
| Amount of interest subvention#                           |                              |                              |                             |  |
| @ 4.5%                                                   | (300000 x 4.5%)/12 = 1125.00 | (300000 x 4.5%)/12 = 1125.00 | (28700 x 4.5%)/12 = 1076.25 |  |
| @ 5%                                                     | (37000 x 5.0%)/12 = 154.17   | (12500 x 5.0%)/12 = 52.08    | (NIL x 5.0%)/12 = NIL       |  |
| Total subvention amount for the quarter                  | Rs 3533                      |                              |                             |  |
| Scenario 2                                               |                              |                              |                             |  |
| Status of account                                        | Overdue                      | Overdue                      | NPA                         |  |
| Amount of interest subvention#                           |                              |                              |                             |  |
| @ 4.5%                                                   | (300000 x 4.5%)/12 = 1125.00 | (300000 x 4.5%)/12 = 1125.00 | NIL                         |  |
| @ 5%                                                     | (37000 x 5.0%)/12 = 154.17   | (12500 x 5.0%)/12 = 52.08    | NIL                         |  |
| Total subvention amount for the quarter                  |                              | Rs 2456                      |                             |  |

| Particulars                                              | Months in one Quarter        |         |                           |  |
|----------------------------------------------------------|------------------------------|---------|---------------------------|--|
|                                                          | Month 1                      | Month 2 | Month 3                   |  |
