| Section                 | Existing Provisions                                                                                                                                                                                                                 | Amended Provisions                                                                                                                                                                                                                                                                                                  |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| of MD<br>7 (a)<br>(iii) | Banks shall have the freedom to offer<br>term<br>deposits<br>without<br>premature<br>withdrawal option.                                                                                                                             | Banks shall have the freedom to offer<br>term<br>deposits<br>without<br>premature<br>withdrawal option.                                                                                                                                                                                                             |
|                         | Provided<br>that<br>all<br>term<br>deposits<br>accepted<br>from<br>individuals<br>(held<br>singly<br>or<br>jointly)<br>for<br>amount<br>of<br>Rupees fifteen lakh and below<br>shall<br>have<br>premature-withdrawal<br>facility.   | Provided that all term deposits accepted<br>from individuals (held singly or jointly) for<br>amount<br>of<br>Rupees<br>one<br>crore<br>and<br>below<br>shall have premature-withdrawal<br>facility.                                                                                                                 |
| 15 (c)                  | Interest rates on NRE/NRO term<br>deposits shall vary only on account of<br>one or more of the following reasons:                                                                                                                   | Interest<br>rates<br>on<br>NRE/NRO<br>term<br>deposits shall vary only on account of<br>one or more of the following reasons:                                                                                                                                                                                       |
|                         | (i) Tenor of Deposits:                                                                                                                                                                                                              | (i) Tenor of Deposits:                                                                                                                                                                                                                                                                                              |
|                         | Banks shall have the freedom to<br>determine the maturity/tenor of the<br>deposit<br>subject to the condition that<br>minimum tenor of NRE term deposits<br>shall be one year and that of NRO<br>term deposits shall be seven days. | Banks<br>shall<br>have<br>the<br>freedom<br>to<br>determine<br>the<br>maturity/tenor<br>of<br>the<br>deposit<br>subject<br>to<br>the<br>condition<br>that<br>minimum tenor of NRE term deposits<br>shall be one year and that of NRO term<br>deposits shall be seven days.                                          |
|                         | (ii) Size of Deposits:                                                                                                                                                                                                              | (ii) Size of Deposits:                                                                                                                                                                                                                                                                                              |
|                         | Differential<br>interest<br>rate<br>shall<br>be<br>offered only on bulk deposits.                                                                                                                                                   | Differential interest rate shall be offered<br>only on<br>bulk deposits.                                                                                                                                                                                                                                            |
|                         |                                                                                                                                                                                                                                     | (iii)<br>Non-availability<br>of<br>Premature<br>withdrawal option:                                                                                                                                                                                                                                                  |
|                         |                                                                                                                                                                                                                                     | Banks shall have the freedom to offer<br>NRE / NRO term deposits without<br>premature<br>withdrawal<br>option,<br>provided that all NRE / NRO term<br>deposits accepted from individuals<br>(held singly or jointly) for amount of<br>Rupees<br>one<br>crore and below shall<br>have premature-withdrawal-facility. |

| Section                 | Existing Provisions                                                                                                                                                                                                                                                                                                                                                                 | Amended Provisions                                                                                                                                                                                                                                                                                                                                                         |
|-------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| of MD<br>7 (a)<br>(iii) | Co-operative Banks shall have the<br>freedom<br>to<br>offer<br>term<br>deposits<br>without premature withdrawal option,<br>Provided<br>that<br>all<br>term<br>deposits<br>accepted<br>from<br>individuals<br>(held<br>singly or jointly) and Hindu Undivided<br>Families<br>for<br>amount<br>of<br>Rupees<br>fifteen lakh and below<br>shall have<br>premature-withdrawal-facility. | Co-operative<br>Banks<br>shall<br>have<br>the<br>freedom to offer term deposits without<br>premature withdrawal option,<br>Provided that all term deposits accepted<br>from individuals (held singly or jointly)<br>and<br>Hindu<br>Undivided<br>Families<br>for<br>amount<br>of<br>Rupees<br>one<br>crore<br>and<br>below<br>shall have premature-withdrawal<br>facility. |
| 14<br>(c)               | Interest rates on NRE/NRO term<br>deposits shall vary only on account of<br>one or more of the following reasons:<br>(i) Tenor of Deposits:                                                                                                                                                                                                                                         | Interest<br>rates<br>on<br>NRE/NRO<br>term<br>deposits shall vary only on account of<br>one or<br>more of the following reasons:<br>(i) Tenor of Deposits:                                                                                                                                                                                                                 |
|                         | Co-operative Banks<br>shall have the<br>freedom<br>to<br>determine<br>the<br>maturity/tenor of the deposit<br>subject<br>to the condition that minimum tenor<br>of NRE term deposits shall be one<br>year and that of NRO term deposits<br>shall be seven days.                                                                                                                     | Co-operative<br>Banks<br>shall<br>have<br>the<br>freedom to determine the maturity/tenor<br>of the deposit<br>subject to the condition<br>that<br>minimum<br>tenor<br>of<br>NRE<br>term<br>deposits shall be one year and that of<br>NRO term deposits<br>shall be seven days.<br>(ii) Size of Deposits:                                                                   |
|                         | (ii) Size of Deposits:<br>Differential<br>interest<br>rate<br>shall<br>be<br>offered only on bulk deposits.                                                                                                                                                                                                                                                                         | Differential interest rate shall be offered<br>only on bulk deposits.<br>(iii)<br>Non-availability<br>of<br>Premature<br>withdrawal option:                                                                                                                                                                                                                                |
|                         |                                                                                                                                                                                                                                                                                                                                                                                     | Co-operative Banks<br>shall have the<br>freedom to offer NRE / NRO term<br>deposits<br>without<br>premature<br>withdrawal option, provided that all<br>NRE / NRO term deposits accepted<br>from<br>individuals<br>(held<br>singly<br>or<br>jointly) for amount of Rupees one<br>crore<br>and<br>below<br>shall<br>have<br>premature-withdrawal-facility.                   |
