| Sr.No. | Circular No.                   | Circular Date        | Subject of the Circular                                                                                                                                                                                                  |
|--------|--------------------------------|----------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 1      | DBOD.No.CAS.1392/C.446-72      | August 19, 1972      | Temporary Credit Limits against Cheques Taken for Collection<br>when Clearing is Suspended                                                                                                                               |
| 2      | DBOD.No.NCC.77/16.15.84/85     | July 31, 1984        | Introduction of MICR Technology for Cheque Processing                                                                                                                                                                    |
| 3      | DBOD.No.Leg.BC-88/C.466(IV)-84 | August 22, 1984      | Customer Service -<br>Payment of Interest at Savings Bank Rate for<br>the<br>Delay in Collection of Outstation Cheques (Recommendation<br>No.78)                                                                         |
| 4      | DBOD.No.BL.BC.81/BL.77-78      | January 11, 1988     | Immediate Credit of Outstation Cheques<br>upto Rs. 2,500/-<br>and<br>Payment of Interest for Delayed Collection of Outstation<br>Instruments -<br>Extension of Facilities at Extension Counters                          |
| 5      | DBOD.No.Leg.BC.96/C.466(IV)-88 | February 17, 1988    | Immediate Credit of Outstation Cheques<br>upto Rs. 2,500/-                                                                                                                                                               |
| 6      | DBOD.No.Leg.BC.112/C.233-89    | April 21, 1989       | Section 4 of Banking,<br>Public Financial Institutions and Negotiable<br>Instruments Laws(Amendment) Act, 1988<br>-<br>Imposing Penalties in<br>case of Dishonour of Cheque for Insufficiency of Funds in the<br>Account |
| 7      | DBOD.No.GC.BC.84/C.408(A)-91   | February 19, 1991    | Frauds -<br>Kite Flying of Cheques                                                                                                                                                                                       |
| 8      | DBOD.No.BC.82/09.07.007/93     | February<br>25, 1993 | Customer Service -<br>Immediate Credit of Local Cheques                                                                                                                                                                  |
| 9      | DBOD.No.BC.127/11.19.001/92-93 | June 9, 1993         | Clearing Differences                                                                                                                                                                                                     |
| 10     | DBOD.No.BC.140/09.07.007/93    | July 12, 1993        | Delay in Crediting the Proceeds of Outstation Instruments -<br>Rate of<br>Interest                                                                                                                                       |

| Sr.No. | Circular No.                               | Circular Date           | Subject of the Circular                                                                                  |
|--------|--------------------------------------------|-------------------------|----------------------------------------------------------------------------------------------------------|
| 11     | DBOD.No.BC.45/09.07.007/94                 | April 16, 1994          | Customer Service -<br>Immediate Credit of Outstation<br>Local Cheques<br>-<br>Rate of Interest           |
| 12     | DBOD.No.BC.93/11.19.001/93-94              | August 4, 1994          | Presentation of Cheques in the same day's MICR Clearing                                                  |
| 13     | DBOD.BC.No.59/09.07.007/95                 | May 17, 1995            | Customer Service -<br>Collection of Outstation Cheques                                                   |
| 14     | DBOD.No.724/09.07.007/96                   | June<br>22, 1996        | Customer Service -<br>Collection of Outstation Cheques                                                   |
| 15     | DBOD.No.BC.48/09.07.007/97                 | April<br>22, 1997       | Customer Service -<br>Collection of Local Cheques                                                        |
| 16     | DBOD.No.248/09.07.007/97-98                | December<br>12,<br>1997 | Customer Service -<br>Collection of Outstation Instruments                                               |
| 17     | DBOD.No.BC.132/09.07.007/99-2000           | December<br>30,<br>1999 | Customer Service -<br>Collection of Outstation Cheques                                                   |
| 18     | DBOD.No.BC.181/09.07.007/99-2000           | May<br>29, 2000         | Customer Service<br>-<br>Immediate Credit of Outstation and Local<br>Cheques -<br>Enhancement of Ceiling |
| 19     | DBOD.No.LEG.BC.131/09.07.007/2000-<br>2001 | June<br>14, 2001        | Delay in Collection of Outstation Cheques                                                                |
| 20     | DBOD.No.Leg.BC.21/09.07.007/2002-03        | August<br>23, 2002      | Customer Service -<br>Immediate Credit for Outstation and Local<br>Cheques -<br>Enhancement of Ceiling   |
